2018/04/23
DOCTYPE,1
html,69
if,21
gt,2
IE,31
lang,4
en,10
class,691
no,13
js,28
edition,5
domestic,4
section,71
us,85
tone,4
news,6
app,6
collection,56
itemscope,43
xmlns,4
og,9
http,58
opengraphprotocol,4
org,46
schema,46
endif,8
lt,17
head,2
title,9
Politics,95
The,111
New,28
York,13
Times,12
meta,128
equiv,1
X,10
UA,4
Compatible,1
content,86
edge,3
chrome,1
name,37
viewport,7
width,3
device,1
initial,3
scale,2
maximum,1
link,62
rel,10
shortcut,1
icon,40
href,164
https,226
static,70
nytimes,162
com,241
favicon,1
ico,1
apple,3
touch,3
precomposed,3
sizes,2
images,60
icons,6
ios,3
ipad,2
png,8
iphone,2
default,2
homescreen,1
sourceApp,2
nyt,96
v,8
id,145
applicationName,2
foundation,15
build,7
identifier,1
CN,3
type,24
sectioncollection,2
CT,1
display,5
tagline,1
promotional,1
image,4
PT,1
sectionfront,2
asset,1
slug,1
property,14
description,48
twitter,8
keywords,2
U,19
S,95
t,39
logo,2
black,2
parentsection,1
author,45
pdate,1
url,8
www,148
uri,1
alternate,1
application,4
rss,3
xml,2
svc,2
collections,1
publish,1
article,89
fb,3
canonical,1
dfp,4
ad,43
unit,1
path,1
amazon,3
enabled,1
FALSE,5
language,1
card,1
value,4
summary,89
large,1
site,22
robots,9
noarchive,1
legacy,3
zam,2
nzz,2
stylesheet,4
text,27
css,12
typeface,1
media,16
all,1
screen,2
g,24
assets,10
styles,2
lte,1
begin,1
abra,7
script,46
var,28
NYTD,4
function,28
use,2
strict,2
n,53
i,95
return,8
null,9
e,35
o,27
r,23
c,32
length,6
for,31
a,397
subject,3
test,33
encodeURIComponent,5
variant,25
location,9
instant,3
skipAugment,3
TRUE,18
f,45
push,8
setTimeout,3
XMLHttpRequest,2
withCredentials,2
open,2
POST,4
onreadystatechange,1
readyState,1
status,1
Error,2
statusText,1
shift,1
send,4
l,17
h,166
p,193
charCodeAt,1
init,5
document,18
cookie,7
match,12
d,29
ab,19
m,2
RegExp,1
exec,2
search,56
throw,1
can,5
twice,1
decodeURIComponent,1
split,4
in,28
alloc,4
replace,2
w,12
documentElement,1
setAttribute,1
data,70
join,3
reportExposure,1
expose,1
this,9
EC,1
SampleTest,1
variantA,1
variantB,1
MKT,2
offer,1
NoIntro,3
Rack,2
Free,3
lanes,1
et,2
end,2
reporting,2
Vi,7
rollout,2
Please,2
don,1
hand,1
edit,2
minified,1
snippet,1
github,1
nytm,1
abdd,1
Wed,1
Feb,1
EST,1
reportViRolloutToABRA,2
mobile,12
window,19
hostname,4
np,1
b,24
WP,24
ProjectVi,24
z,5
hp,20
st,5
serv,1
orig,1
y,5
vistorymobile,1
Story,352
sth,1
mw,1
mwh,1
vistory,1
desktop,4
sd,1
sdh,1
javascript,9
getElementsByTagName,4
mediaDotNet,2
contextual,1
net,3
bidexchange,1
cid,1
CU,2
YN,2
amp,4
indexBid,2
sec,1
indexww,1
ht,1
timeout,3
loadScript,2
tagSrc,5
substr,1
isSSL,2
protocol,1
scriptTag,5
createElement,5
placeTag,1
async,6
src,56
parentNode,5
insertBefore,5
loadGPT,3
advBidxc,10
isAdServerLoaded,2
googletagservices,1
tag,1
gpt,1
renderAd,1
startTime,1
Date,1
getTime,1
customerId,1
Customer,1
append,2
index,17
Bidder,1
version,2
Initialization,1
Load,3
ApsTag,4
Library,1
q,5
arguments,2
fetchBids,1
setDisplayBids,1
targetingKeys,1
adsystem,1
aax,1
pubID,1
adServer,1
googletag,1
esi,2
user,7
info,1
json,4
include,1
web,1
products,1
userinfo,1
magnum,3
feature,1
flags,1
limitFabrikSave,1
moreFollowSuggestions,1
unfollowComments,1
supportedBy,2
magazineLeaderboardAd,1
freeTrial,1
kickerWork,1
fixSearchSort,1
dateSortMisMatch,1
supplementalMarketingAd,1
shareToolFeature,1
enableIssuesCollectionType,1
enableFlexFrameAds,1
liveBlogsOnNewsEvents,1
enableSeriesCollectionType,1
paidPostStream,1
restaurantSearchAPIUpdate,1
MovieTickets,1
extendedVerticalImageSupport,1
NYTExperiment,1
diningOpenTableLink,1
updateRestaurantReservations,1
MapDining,1
NeighborhoodOptions,1
removeInternationalEdition,1
clientSideABRA,1
abraOverrideVersion,1
mapleFreeTrial,1
piiBlockDFP,1
caslOpt,1
indexAsHeaderBidder,1
headerBidder,1
jkiddScript,1
blueKai,2
apsTagEnabled,1
tMagazineFontTest,1
require,8
baseUrl,1
waitSeconds,1
paths,1
shared,2
videoFactory,1
video,12
videofactoryrequire,1
videoPlaylist,1
players,1
extended,1
appRequire,1
auth,3
mtr,2
growl,2
vhs,6
min,3
gte,1
main,17
lib,2
framework,2
map,2
body,89
style,7
messenger,6
suggestions,7
block,4
important,5
height,3
px,12
message,10
bed,2
background,2
color,2
border,1
bottom,1
solid,1
ccc,1
container,9
padding,1
action,4
font,3
family,1
franklin,1
arial,1
helvetica,1
sans,1
serif,1
size,2
weight,1
bold,1
transform,1
uppercase,1
alert,3
repeat,1
inline,1
margin,3
top,7
float,1
none,3
masthead,5
navigation,29
comments,1
panel,16
ribbon,1
div,396
nocontent,16
last,6
span,108
longer,1
supports,1
Internet,1
Explorer,1
or,3
earlier,1
upgrade,1
your,3
browser,1
help,9
support,5
LEARN,1
MORE,10
shell,3
header,18
theme,51
standard,4
role,62
banner,1
quick,1
button,86
group,14
sections,2
sprite,12
home,8
Go,3
to,58
page,13
see,1
latest,11
stories,1
skip,10
visually,33
hidden,61
focusable,4
close,161
branding,7
heading,19
writeLogo,2
small,2
logos,2
kicker,24
label,16
pipe,1
term,2
tools,6
Bar,3
liftoff,1
subscribe,6
subscriptions,7
Multiproduct,2
lp,2
campaignId,2
XUYF,1
Now,2
login,2
modal,1
trigger,1
Log,1
follow,3
placeholder,4
column,14
notifications,1
settings,2
flyout,3
nav,18
form,8
control,6
layout,4
horizontal,1
input,16
field,2
autocomplete,2
off,2
clear,8
tabindex,12
aria,23
describedby,2
auto,1
suggest,1
ol,16
submit,2
notification,2
modals,2
TopAd,1
accessibility,4
Advertisement,1
itemtype,42
CollectionPage,1
supported,3
by,50
headings,2
itemprop,212
subheading,1
about,9
subnavigation,1
li,274
interactive,1
trump,40
agenda,2
tracker,1
Tracking,1
rsquo,1
upshot,2
rank,5
highlights,3
package,2
template,5
featured,1
menu,35
figure,8
photo,8
michael,13
cohen,5
rref,52
img,44
dc,64
trumpcohen,8
videoLarge,8
jpg,50
srcset,4
mediumThreeByTwo,40
alt,44
figcaption,8
caption,8
credit,8
copyrightHolder,5
Jeenah,1
Moon,1
headline,85
Has,16
Said,5
He,2
Would,4
Take,1
Bullet,1
Maybe,1
Not,2
Anymore,1
thumb,80
presentation,44
thumbStandard,4
Roger,1
Stone,1
says,3
Mr,5
long,1
treated,1
his,15
lawyer,1
and,31
fixer,1
like,1
garbage,1
could,3
up,5
cooperating,1
criminal,1
investigation,3
against,3
byline,40
freshness,4
time,96
utc,4
timestamp,4
datetime,44
divider,4
MAGGIE,3
HABERMAN,3
SHARON,1
LaFRANIERE,1
DANNY,1
HAKIM,1
dnc,3
russia,10
lawsuit,7
dems,8
Kevin,1
Liles,1
Democratic,1
Party,1
Alleges,1
Conspiracy,1
accuses,1
associates,1
of,43
illegally,1
working,1
with,15
Russian,1
intelligence,3
agents,1
interfere,1
outcome,1
election,1
ALEXANDER,1
BURNS,1
SHEAR,1
eric,4
garner,13
charges,4
recommended,4
nyregion,5
Mark,3
Kauzlarich,1
Sought,1
Death,1
but,6
Justice,4
Officials,5
Have,5
Doubts,1
Prosecutors,1
charging,1
police,1
officer,1
others,1
question,1
whether,3
case,1
be,11
won,1
gasps,1
breathe,1
galvanized,1
protesters,1
MATT,1
APUZZO,1
comey,31
memos,11
department,9
takaways,8
comeyexcerpts,8
Damon,1
Winter,1
Provide,1
Intimate,1
Look,3
Into,1
Presidency,1
which,5
had,5
been,3
redacted,1
detail,1
phone,1
calls,1
encounters,1
between,1
President,11
James,11
former,11
director,13
NICHOLAS,3
FANDOS,3
RankAd,1
stream,18
supplemental,7
tabs,4
tab,24
ul,24
tablist,1
active,1
controls,6
selected,2
labelledby,3
tabpanel,2
expanded,2
Articles,6
total,2
pages,5
set,8
NewsArticle,40
china,6
human,6
rights,11
Report,6
Labels,2
Threats,2
Global,8
Stability,2
State,4
year,2
underwent,2
significant,2
alterations,2
that,8
reflected,2
change,2
administrations,2
also,4
reproached,2
Iran,2
North,8
Korea,6
GARDINER,4
HARRIS,4
wide,78
business,8
humanrights,2
merlin,8
da,2
fd,2
thumbnailUrl,36
footer,124
dateline,40
dateModified,40
April,40
dea,2
jose,2
irizarry,2
colombia,4
misconduct,4
Is,19
Investigating,2
Agent,4
on,15
Allegations,2
accusations,2
who,2
stationed,2
make,4
it,6
harder,2
earn,2
trust,2
confidential,2
informants,2
shadowy,2
world,16
drug,2
trafficking,2
health,10
zika,4
study,4
ethics,6
Ethicists,4
Call,2
Scrutiny,2
Challenge,2
Trials,2
vaccine,2
subjects,2
are,10
deliberately,2
infected,2
pause,2
after,4
insufficient,2
EMILY,2
BAUMGAERTNER,2
science,8
SCI,4
tiny,4
shrimp,2
ocean,2
mixing,2
Trilobites,2
What,2
Scientist,2
Learned,2
From,13
Studying,2
Synchronized,2
Swimming,2
Sea,2
Monkeys,2
crustaceans,2
complete,2
massive,2
daily,18
vertical,2
migration,2
oceans,2
research,2
suggests,2
their,2
commute,2
may,4
play,2
an,12
planet,2
JOANNA,2
KLEIN,2
tb,4
seamonkey,4
loop,4
devos,4
education,9
civil,6
Dept,2
Begins,2
Dismissing,4
Cases,4
Efficiency,2
begun,4
brought,2
serial,2
complainants,2
those,4
place,2
unreasonable,2
burden,2
resources,2
ERICA,2
GREEN,2
complaints,2
cc,3
ef,2
interview,6
transcript,4
Days,2
release,2
book,2
Higher,2
Loyalty,2
was,4
interviewed,4
Barbaro,4
host,2
podcast,4
books,8
corruption,8
america,2
Newsbook,6
Read,2
These,2
Government,4
at,7
how,6
Citizens,2
United,2
network,2
plutocrats,2
shaped,2
country,6
CONCEPCI,2
DE,2
LE,2
gina,4
haspel,8
cia,2
influence,4
campaign,6
Waging,2
Get,4
Its,8
Next,2
Confirmed,4
making,2
unusually,2
public,3
ensure,2
nominee,2
ADAM,2
GOLDMAN,2
MATTHEW,2
ROSENBERG,2
podcasts,2
Opens,2
Ego,2
Distrust,2
Here,4
five,2
takeaways,8
conversation,2
climate,4
pruitt,4
republicans,2
Shows,4
Cracks,2
as,6
Scott,2
Inquiries,2
Widen,2
Powerful,2
conservative,2
lawmakers,2
publicly,2
questioning,2
chief,6
insisting,2
explanations,2
travel,4
security,2
spending,2
CORAL,2
DAVENPORT,2
cli,4
repubspromo,4
paid,2
additional,6
marker,4
invisible,2
minimized,2
asia,4
sanctions,4
kim,6
jong,4
un,4
Hurting,2
They,4
Give,4
isolated,2
finding,2
ways,2
cope,2
tough,2
penalties,2
economic,2
pressure,2
enough,2
weapons,4
CHOE,2
SANG,2
HUN,2
nkorea,2
sactions,2
ca,2
written,2
paint,2
revealing,2
portrait,2
interactions,2
SCHMIDT,4
american,6
isis,4
suspect,4
ruling,2
Judge,4
Halts,2
Transfer,2
Other,2
blocked,2
transferring,2
citizen,2
held,2
Iraq,2
seven,2
months,2
enemy,2
combatant,2
custody,2
another,2
pompeo,10
confirmation,4
foreign,6
relations,4
committee,6
Nears,2
Faces,4
Historic,2
Rebuke,2
backing,2
Senator,4
Heidi,2
Heitkamp,2
Mike,2
looks,2
assured,2
become,2
secretary,2
withhold,2
elliott,4
broidy,8
malaysia,2
guo,2
Seeking,2
Money,2
Donor,2
Pushed,2
Golf,2
Malaysian,2
Premier,2
Documents,2
reveal,2
details,2
efforts,2
exploit,2
White,3
House,3
ties,2
raise,2
questions,2
administration,2
knew,2
attempts,2
DAVID,2
KIRKPATRICK,2
MAZZETTI,2
print,6
sub,6
technology,3
att,2
ceo,2
warner,6
merger,4
Attacks,4
Randall,2
Stephenson,2
executive,2
defended,2
deal,2
buy,2
combined,2
company,3
different,2
than,2
already,2
exist,2
Silicon,2
Valley,2
CECILIA,2
KANG,2
DOJATT,4
giuliani,10
Legal,4
Team,2
Rudolph,2
City,2
mayor,2
longtime,2
loyalist,2
will,4
part,2
stable,2
baby,8
duckworth,4
senate,8
floor,8
Comes,2
Tammy,2
daughter,2
made,2
history,2
becoming,2
first,5
infant,2
appear,2
Even,2
Mitch,4
McConnell,4
smiled,2
SHERYL,2
GAY,2
STOLBERG,2
fdca,2
cec,2
cfea,2
mueller,4
special,6
counsel,6
legislation,4
Washington,2
Bill,2
Rising,2
Fear,2
Fired,2
Despite,4
resistance,2
bringing,2
protecting,2
backers,2
pressing,2
ahead,2
CARL,2
HULSE,6
middleeast,2
syria,4
strikes,6
Missile,2
Unlikely,2
Stop,2
Chemical,4
Pentagon,2
military,2
found,2
Syrian,2
expected,2
resume,2
program,2
saying,2
mission,2
accomplished,2
strike,2
unfolded,2
THOMAS,2
GIBBONS,2
NEFF,2
analysis,2
options,4
buttons,2
Show,2
lede,4
aside,4
service,5
module,11
newsletter,3
signup,3
FirstDraft,1
GENERATED,3
FILE,3
DO,1
newsgraphics,4
email,7
kirstof,4
embed,4
cbc,4
bdb,4
cbcf,4
bdfea,4
bf,4
ce,4
promo,1
realestate,2
draft,3
leadin,1
updates,1
Congress,1
delivered,1
inbox,1
Monday,1
Friday,1
iframe,2
regilite,3
product,1
Transparent,1
landing,1
addSlot,1
scrolling,1
allowtransparency,1
newsletters,4
NYTG,2
BIG,1
Pipeline,1
social,2
socialmedia,1
nytpolitics,4
facebook,2
live,1
polite,1
atomic,1
result,1
count,1
results,2
word,1
strong,2
sort,2
sorted,1
newest,1
caret,1
overlay,1
raquo,1
Tech,1
sports,2
obituaries,2
todayspaper,1
Today,3
Paper,1
corrections,2
Opinion,10
columnists,2
Op,2
Ed,2
editorials,2
contributors,2
letters,2
sunday,2
Review,1
Arts,9
design,2
Art,1
dance,2
movies,2
music,2
events,6
Guide,3
television,2
theater,2
Living,1
automobiles,2
crosswords,2
Crossword,4
dining,1
Food,1
fashion,3
jobs,2
magazine,4
Real,1
Estate,1
weddings,2
Celebrations,1
Listings,1
reader,2
center,2
ref,2
classifieds,2
marketing,2
services,3
multimedia,2
lens,1
blogs,1
Photography,1
store,3
click,1
contentCollection,1
contentPlacement,1
SectionsNav,1
pgtype,1
Homepage,1
region,1
TopBar,1
qry,1
utm,8
browsetree,3
medium,2
HPB,1
source,2
journeys,2
HPLink,1
seeallnav,1
membercenter,2
Manage,1
My,1
Account,1
nytco,3
primary,1
delivery,3
hdleftnav,1
digital,3
subscription,2
digitalleftnav,1
item,9
secondary,2
myaccount,1
mem,1
tnt,1
Alerts,1
gift,2
giftleftnav,1
corporateleftnav,1
educationleftnav,1
Rate,1
Applications,1
eedition,1
cgi,2
bin,1
FYY,1
Replica,1
contentinfo,1
Information,2
hc,5
Copyright,1
notice,1
copyrightNotice,1
copy,1
copyrightYear,1
provider,1
sourceOrganization,1
Organization,1
itemid,1
tickerSymbol,1
NYSE,1
query,1
sitesearch,1
concerns,1
mailto,1
We,1
love,1
hear,1
you,1
infoservdirectory,1
Contact,2
careers,1
Work,1
nytmediakit,1
Advertise,1
privacy,4
policy,2
pp,1
Choices,1
Terms,4
usageTerms,1
sale,2
spiderbites,1
Feedback,1
WXW,1
jquery,1
views,1
manager,1
